match_date,match_time,final_score,home_team,away_team,goals,season,round
17. september 2019,19:45,0:3,Swindon Town,Colchester United,{None: 'away'},2019-2020,9
21. september 2019,15:00,3:1,Bradford City,Carlisle United,{None: 'home'},2019-2020,10
21. september 2019,15:00,0:1,Cambridge United,Swindon Town,{None: 'away'},2019-2020,10
21. september 2019,15:00,2:1,Colchester United,Leyton Orient,{None: 'away'},2019-2020,10
21. september 2019,15:00,4:1,Crewe Alexandra,Salford City,{None: 'home'},2019-2020,10
21. september 2019,15:00,0:0,Forest Green Rovers,Stevenage FC,,2019-2020,10
21. september 2019,15:00,1:0,Grimsby Town,Macclesfield Town,{None: 'home'},2019-2020,10
21. september 2019,15:00,1:1,Newport County,Exeter City,"{None: 'away', '64': 'home'}",2019-2020,10
21. september 2019,15:00,2:2,Northampton Town,Crawley Town,"{'15': 'home', None: 'away', '90': 'away'}",2019-2020,10
21. september 2019,15:00,3:1,Oldham Athletic,Morecambe FC,{None: 'home'},2019-2020,10
21. september 2019,15:00,0:2,Plymouth Argyle,Cheltenham Town,"{None: 'away', '90': 'away'}",2019-2020,10
21. september 2019,15:00,2:2,Port Vale FC,Mansfield Town,"{None: 'home', '75': 'away'}",2019-2020,10
21. september 2019,15:00,1:0,Walsall FC,Scunthorpe United,{None: 'home'},2019-2020,10
28. september 2019,15:00,1:0,Carlisle United,Oldham Athletic,{None: 'home'},2019-2020,11
28. september 2019,15:00,1:1,Cheltenham Town,Crewe Alexandra,{None: 'away'},2019-2020,11
28. september 2019,15:00,2:3,Crawley Town,Walsall FC,{None: 'home'},2019-2020,11
28. september 2019,15:00,1:3,Exeter City,Grimsby Town,"{None: 'home', '59': 'away'}",2019-2020,11
28. september 2019,15:00,3:3,Leyton Orient,Port Vale FC,{None: 'home'},2019-2020,11
28. september 2019,15:00,1:1,Macclesfield Town,Colchester United,{None: 'away'},2019-2020,11
28. september 2019,15:00,0:1,Mansfield Town,Plymouth Argyle,{None: 'away'},2019-2020,11
28. september 2019,15:00,2:2,Morecambe FC,Northampton Town,{None: 'home'},2019-2020,11
28. september 2019,15:00,0:4,Salford City,Forest Green Rovers,{None: 'away'},2019-2020,11
28. september 2019,15:00,1:1,Scunthorpe United,Bradford City,"{'13': 'home', None: 'away'}",2019-2020,11
28. september 2019,15:00,1:1,Stevenage FC,Cambridge United,{None: 'away'},2019-2020,11
28. september 2019,15:00,0:2,Swindon Town,Newport County,{None: 'away'},2019-2020,11
5. october 2019,15:00,2:1,Bradford City,Swindon Town,{None: 'home'},2019-2020,12
5. october 2019,15:00,2:2,Cambridge United,Macclesfield Town,{None: 'home'},2019-2020,12
5. october 2019,15:00,3:1,Colchester United,Stevenage FC,"{None: 'home', '82': 'home'}",2019-2020,12
5. october 2019,15:00,1:1,Crewe Alexandra,Exeter City,{None: 'home'},2019-2020,12
5. october 2019,15:00,3:1,Forest Green Rovers,Crawley Town,"{None: 'away', '55': 'home'}",2019-2020,12
5. october 2019,15:00,0:1,Grimsby Town,Mansfield Town,{None: 'away'},2019-2020,12
5. october 2019,15:00,1:0,Newport County,Carlisle United,{None: 'home'},2019-2020,12
5. october 2019,15:00,0:1,Northampton Town,Leyton Orient,{None: 'away'},2019-2020,12
5. october 2019,15:00,1:1,Oldham Athletic,Cheltenham Town,{None: 'away'},2019-2020,12
5. october 2019,15:00,2:2,Plymouth Argyle,Scunthorpe United,{None: 'away'},2019-2020,12
5. october 2019,15:00,3:1,Port Vale FC,Morecambe FC,{None: 'home'},2019-2020,12
5. october 2019,15:00,0:3,Walsall FC,Salford City,{None: 'away'},2019-2020,12
12. october 2019,15:00,2:4,Carlisle United,Crewe Alexandra,"{None: 'away', '85': 'away'}",2019-2020,13
12. october 2019,15:00,2:1,Crawley Town,Colchester United,{None: 'home'},2019-2020,13
12. october 2019,15:00,1:0,Exeter City,Forest Green Rovers,{None: 'home'},2019-2020,13
12. october 2019,15:00,3:1,Leyton Orient,Walsall FC,{None: 'home'},2019-2020,13
12. october 2019,15:00,2:1,Macclesfield Town,Port Vale FC,{None: 'home'},2019-2020,13
12. october 2019,15:00,6:1,Mansfield Town,Oldham Athletic,"{None: 'home', '56': 'home', '83': 'home'}",2019-2020,13
12. october 2019,15:00,1:2,Morecambe FC,Bradford City,{None: 'home'},2019-2020,13
12. october 2019,15:00,1:0,Salford City,Cambridge United,{None: 'home'},2019-2020,13
12. october 2019,15:00,3:0,Scunthorpe United,Northampton Town,{None: 'home'},2019-2020,13
12. october 2019,15:00,2:1,Stevenage FC,Grimsby Town,{None: 'away'},2019-2020,13
12. october 2019,15:00,1:1,Swindon Town,Plymouth Argyle,{None: 'away'},2019-2020,13
19. october 2019,15:00,2:1,Bradford City,Crawley Town,{None: 'away'},2019-2020,14
19. october 2019,15:00,4:0,Cambridge United,Exeter City,{None: 'home'},2019-2020,14
19. october 2019,15:00,0:1,Colchester United,Morecambe FC,{None: 'away'},2019-2020,14
19. october 2019,15:00,3:1,Crewe Alexandra,Swindon Town,{None: 'home'},2019-2020,14
19. october 2019,15:00,2:2,Forest Green Rovers,Mansfield Town,{None: 'away'},2019-2020,14
19. october 2019,15:00,0:4,Grimsby Town,Leyton Orient,"{None: 'away', '85': 'away'}",2019-2020,14
19. october 2019,15:00,2:1,Newport County,Scunthorpe United,"{None: 'home', '49': 'away'}",2019-2020,14
19. october 2019,15:00,2:0,Northampton Town,Salford City,"{'35': 'home', None: 'home'}",2019-2020,14
19. october 2019,15:00,0:1,Oldham Athletic,Macclesfield Town,{None: 'away'},2019-2020,14
19. october 2019,15:00,2:0,Plymouth Argyle,Carlisle United,{None: 'home'},2019-2020,14
19. october 2019,15:00,1:1,Port Vale FC,Stevenage FC,"{None: 'home', '23': 'away'}",2019-2020,14
19. october 2019,15:00,1:2,Walsall FC,Cheltenham Town,"{None: 'away', '52': 'home'}",2019-2020,14
22. october 2019,19:45,1:2,Bradford City,Port Vale FC,"{None: 'away', '45': 'home'}",2019-2020,15
22. october 2019,19:45,0:0,Cambridge United,Grimsby Town,,2019-2020,15
22. october 2019,19:45,0:2,Carlisle United,Northampton Town,{None: 'away'},2019-2020,15
22. october 2019,19:45,3:0,Cheltenham Town,Macclesfield Town,{None: 'home'},2019-2020,15
22. october 2019,19:45,0:0,Crewe Alexandra,Colchester United,,2019-2020,15
22. october 2019,19:45,1:2,Mansfield Town,Salford City,{None: 'home'},2019-2020,15
22. october 2019,19:45,0:2,Morecambe FC,Forest Green Rovers,{None: 'away'},2019-2020,15
22. october 2019,19:45,1:1,Newport County,Crawley Town,"{'35': 'away', '74': 'home'}",2019-2020,15
22. october 2019,19:45,2:0,Oldham Athletic,Walsall FC,{None: 'home'},2019-2020,15
22. october 2019,19:45,4:0,Plymouth Argyle,Leyton Orient,"{None: 'home', '45': 'home'}",2019-2020,15
22. october 2019,19:45,3:1,Scunthorpe United,Exeter City,{None: 'home'},2019-2020,15
22. october 2019,19:45,1:0,Swindon Town,Stevenage FC,{None: 'home'},2019-2020,15
26. october 2019,13:00,4:0,Exeter City,Plymouth Argyle,"{'42': 'home', None: 'home'}",2019-2020,16
26. october 2019,15:00,3:1,Colchester United,Newport County,{None: 'home'},2019-2020,16
26. october 2019,15:00,0:4,Crawley Town,Swindon Town,{None: 'away'},2019-2020,16
26. october 2019,15:00,1:1,Leyton Orient,Carlisle United,"{'7': 'home', None: 'away'}",2019-2020,16
26. october 2019,15:00,2:0,Northampton Town,Cambridge United,"{None: 'home', '45': 'home'}",2019-2020,16
26. october 2019,15:00,0:0,Port Vale FC,Oldham Athletic,,2019-2020,16
26. october 2019,15:00,1:1,Salford City,Scunthorpe United,{None: 'home'},2019-2020,16
26. october 2019,15:00,1:0,Stevenage FC,Morecambe FC,{None: 'home'},2019-2020,16
26. october 2019,15:00,1:2,Walsall FC,Mansfield Town,{None: 'away'},2019-2020,16
26. november 2019,19:45,0:0,Forest Green Rovers,Crewe Alexandra,,2019-2020,16
26. november 2019,19:45,0:0,Grimsby Town,Cheltenham Town,,2019-2020,16
30. november 2019,15:00,1:1,Macclesfield Town,Bradford City,"{'32': 'home', None: 'away'}",2019-2020,16
2. november 2019,15:00,2:0,Bradford City,Exeter City,"{'31': 'home', None: 'home'}",2019-2020,17
2. november 2019,15:00,2:1,Cambridge United,Crawley Town,{None: 'home'},2019-2020,17
2. november 2019,15:00,2:1,Carlisle United,Macclesfield Town,{None: 'home'},2019-2020,17
2. november 2019,15:00,1:2,Cheltenham Town,Forest Green Rovers,{None: 'home'},2019-2020,17
2. november 2019,15:00,0:1,Crewe Alexandra,Port Vale FC,{None: 'away'},2019-2020,17
2. november 2019,15:00,2:3,Mansfield Town,Colchester United,{None: 'home'},2019-2020,17
2. november 2019,15:00,1:0,Morecambe FC,Leyton Orient,{None: 'home'},2019-2020,17
2. november 2019,15:00,1:2,Newport County,Salford City,"{None: 'away', '45': 'home'}",2019-2020,17
2. november 2019,15:00,2:2,Oldham Athletic,Northampton Town,{None: 'home'},2019-2020,17
2. november 2019,15:00,0:0,Scunthorpe United,Stevenage FC,,2019-2020,17
2. november 2019,15:00,2:1,Swindon Town,Walsall FC,{None: 'away'},2019-2020,17
3. march 2020,19:45,3:0,Plymouth Argyle,Grimsby Town,{None: 'home'},2019-2020,17
16. november 2019,15:00,1:1,Crawley Town,Morecambe FC,"{'44': 'home', None: 'away'}",2019-2020,18
16. november 2019,15:00,0:0,Exeter City,Cheltenham Town,,2019-2020,18
16. november 2019,15:00,0:1,Forest Green Rovers,Plymouth Argyle,{None: 'away'},2019-2020,18
16. november 2019,15:00,0:2,Leyton Orient,Scunthorpe United,{None: 'away'},2019-2020,18
16. november 2019,15:00,0:0,Macclesfield Town,Mansfield Town,,2019-2020,18
16. november 2019,15:00,4:1,Northampton Town,Crewe Alexandra,"{None: 'home', '24': 'home'}",2019-2020,18
16. november 2019,15:00,2:1,Port Vale FC,Carlisle United,{None: 'home'},2019-2020,18
16. november 2019,15:00,2:3,Salford City,Swindon Town,"{'4': 'home', None: 'away', '54': 'away', '90': 'home'}",2019-2020,18
16. november 2019,15:00,2:1,Walsall FC,Cambridge United,{None: 'away'},2019-2020,18
14. january 2020,19:45,0:0,Stevenage FC,Oldham Athletic,,2019-2020,18
21. january 2020,19:45,0:0,Colchester United,Bradford City,,2019-2020,18
25. february 2020,19:45,4:2,Grimsby Town,Newport County,{None: 'home'},2019-2020,18
23. november 2019,15:00,0:0,Carlisle United,Cambridge United,,2019-2020,19
23. november 2019,15:00,1:1,Cheltenham Town,Colchester United,"{None: 'away', '70': 'home'}",2019-2020,19
23. november 2019,15:00,0:1,Crawley Town,Exeter City,{None: 'away'},2019-2020,19
23. november 2019,15:00,5:0,Crewe Alexandra,Morecambe FC,{None: 'home'},2019-2020,19
23. november 2019,15:00,2:4,Leyton Orient,Forest Green Rovers,{None: 'away'},2019-2020,19
23. november 2019,15:00,0:1,Newport County,Oldham Athletic,{None: 'away'},2019-2020,19
23. november 2019,15:00,2:0,Northampton Town,Grimsby Town,{None: 'home'},2019-2020,19
23. november 2019,15:00,2:1,Plymouth Argyle,Bradford City,"{None: 'home', '51': 'away'}",2019-2020,19
23. november 2019,15:00,0:0,Salford City,Macclesfield Town,,2019-2020,19
23. november 2019,15:00,2:1,Scunthorpe United,Port Vale FC,{None: 'home'},2019-2020,19
23. november 2019,15:00,1:0,Swindon Town,Mansfield Town,{None: 'home'},2019-2020,19
23. november 2019,15:00,0:0,Walsall FC,Stevenage FC,,2019-2020,19
7. december 2019,15:00,1:0,Bradford City,Newport County,{'58': 'home'},2019-2020,20
7. december 2019,15:00,1:0,Cambridge United,Plymouth Argyle,{None: 'home'},2019-2020,20
7. december 2019,15:00,1:0,Colchester United,Salford City,{None: 'home'},2019-2020,20
7. december 2019,15:00,3:2,Exeter City,Northampton Town,{None: 'away'},2019-2020,20
7. december 2019,15:00,0:2,Forest Green Rovers,Scunthorpe United,{None: 'away'},2019-2020,20
7. december 2019,15:00,0:3,Grimsby Town,Swindon Town,{None: 'away'},2019-2020,20
7. december 2019,15:00,0:3,Mansfield Town,Cheltenham Town,{None: 'away'},2019-2020,20
7. december 2019,15:00,1:1,Morecambe FC,Carlisle United,{None: 'home'},2019-2020,20
7. december 2019,15:00,1:1,Oldham Athletic,Leyton Orient,{None: 'away'},2019-2020,20
7. december 2019,15:00,0:1,Port Vale FC,Walsall FC,{None: 'away'},2019-2020,20
7. december 2019,15:00,0:0,Stevenage FC,Crawley Town,,2019-2020,20
21. january 2020,19:45,1:1,Macclesfield Town,Crewe Alexandra,"{'44': 'home', None: 'away'}",2019-2020,20
14. december 2019,15:00,0:0,Carlisle United,Grimsby Town,,2019-2020,21
14. december 2019,15:00,1:1,Cheltenham Town,Cambridge United,{None: 'home'},2019-2020,21
14. december 2019,15:00,0:0,Crawley Town,Port Vale FC,,2019-2020,21
14. december 2019,15:00,1:1,Crewe Alexandra,Mansfield Town,{None: 'away'},2019-2020,21
14. december 2019,15:00,0:0,Leyton Orient,Bradford City,,2019-2020,21
14. december 2019,15:00,1:1,Newport County,Stevenage FC,{None: 'home'},2019-2020,21
14. december 2019,15:00,1:0,Northampton Town,Forest Green Rovers,{'45': 'home'},2019-2020,21
14. december 2019,15:00,3:0,Plymouth Argyle,Morecambe FC,"{None: 'home', '45': 'home'}",2019-2020,21
14. december 2019,15:00,0:1,Salford City,Exeter City,{None: 'away'},2019-2020,21
14. december 2019,15:00,2:2,Scunthorpe United,Colchester United,{None: 'away'},2019-2020,21
14. december 2019,15:00,2:0,Swindon Town,Oldham Athletic,{None: 'home'},2019-2020,21
14. december 2019,15:00,1:1,Walsall FC,Macclesfield Town,{None: 'home'},2019-2020,21
21. december 2019,13:00,0:1,Grimsby Town,Scunthorpe United,{None: 'away'},2019-2020,22
21. december 2019,15:00,1:1,Bradford City,Salford City,{None: 'away'},2019-2020,22
21. december 2019,15:00,2:3,Cambridge United,Leyton Orient,"{None: 'home', '82': 'home'}",2019-2020,22
21. december 2019,15:00,3:0,Colchester United,Carlisle United,"{'26': 'home', None: 'home'}",2019-2020,22
21. december 2019,15:00,3:3,Exeter City,Walsall FC,"{'13': 'away', None: 'home'}",2019-2020,22
21. december 2019,15:00,2:2,Forest Green Rovers,Swindon Town,{None: 'home'},2019-2020,22
21. december 2019,15:00,1:1,Mansfield Town,Northampton Town,{None: 'away'},2019-2020,22
21. december 2019,15:00,2:1,Morecambe FC,Newport County,{None: 'home'},2019-2020,22
21. december 2019,15:00,2:1,Oldham Athletic,Crawley Town,{None: 'home'},2019-2020,22
21. december 2019,15:00,1:1,Port Vale FC,Cheltenham Town,"{None: 'away', '39': 'home'}",2019-2020,22
21. december 2019,15:00,1:5,Stevenage FC,Crewe Alexandra,"{None: 'home', '70': 'away'}",2019-2020,22
18. february 2020,19:45,1:1,Macclesfield Town,Plymouth Argyle,{None: 'away'},2019-2020,22
26. december 2019,13:00,1:3,Leyton Orient,Colchester United,{None: 'away'},2019-2020,23
26. december 2019,15:00,0:0,Carlisle United,Bradford City,,2019-2020,23
26. december 2019,15:00,0:1,Cheltenham Town,Plymouth Argyle,{None: 'away'},2019-2020,23
26. december 2019,15:00,4:0,Crawley Town,Northampton Town,{None: 'home'},2019-2020,23
26. december 2019,15:00,1:0,Exeter City,Newport County,{None: 'home'},2019-2020,23
26. december 2019,15:00,1:1,Macclesfield Town,Grimsby Town,"{'49': 'home', None: 'away'}",2019-2020,23
26. december 2019,15:00,2:2,Mansfield Town,Port Vale FC,{None: 'home'},2019-2020,23
26. december 2019,15:00,1:2,Morecambe FC,Oldham Athletic,{None: 'away'},2019-2020,23
26. december 2019,15:00,3:1,Salford City,Crewe Alexandra,"{None: 'away', '85': 'home'}",2019-2020,23
26. december 2019,15:00,0:2,Scunthorpe United,Walsall FC,{None: 'away'},2019-2020,23
26. december 2019,15:00,0:0,Stevenage FC,Forest Green Rovers,,2019-2020,23
26. december 2019,15:00,4:0,Swindon Town,Cambridge United,"{'5': 'home', None: 'home'}",2019-2020,23
29. december 2019,15:00,2:0,Bradford City,Mansfield Town,"{'13': 'home', '83': 'home'}",2019-2020,24
29. december 2019,15:00,1:0,Cambridge United,Morecambe FC,{None: 'home'},2019-2020,24
29. december 2019,15:00,2:2,Colchester United,Exeter City,"{None: 'home', '77': 'away'}",2019-2020,24
29. december 2019,15:00,3:1,Crewe Alexandra,Scunthorpe United,{None: 'home'},2019-2020,24
29. december 2019,15:00,1:0,Forest Green Rovers,Macclesfield Town,{None: 'home'},2019-2020,24
29. december 2019,15:00,1:1,Grimsby Town,Crawley Town,{None: 'away'},2019-2020,24
29. december 2019,15:00,1:1,Newport County,Leyton Orient,{None: 'home'},2019-2020,24
29. december 2019,15:00,1:1,Northampton Town,Cheltenham Town,"{'3': 'away', None: 'home'}",2019-2020,24
29. december 2019,15:00,1:4,Oldham Athletic,Salford City,{None: 'home'},2019-2020,24
29. december 2019,15:00,2:1,Plymouth Argyle,Stevenage FC,"{'23': 'home', None: 'home'}",2019-2020,24
29. december 2019,15:00,2:0,Port Vale FC,Swindon Town,{None: 'home'},2019-2020,24
29. december 2019,15:00,1:2,Walsall FC,Carlisle United,{None: 'away'},2019-2020,24
1. january 2020,15:00,1:0,Bradford City,Morecambe FC,{None: 'home'},2019-2020,25
1. january 2020,15:00,2:3,Cambridge United,Mansfield Town,{None: 'away'},2019-2020,25
1. january 2020,15:00,1:1,Colchester United,Crawley Town,{None: 'away'},2019-2020,25
1. january 2020,15:00,4:1,Crewe Alexandra,Carlisle United,{None: 'away'},2019-2020,25
